variant,p,alpha,n_seeds,fa,fa_sd,aa,aa_sd,ffm,ffm_sd,old_mean,new_acc,first5_mean
separate,0.50,0.70,3,82.77,0.15,87.20,0.20,4.70,0.38,82.62,84.06,82.29
separate,0.50,0.90,3,82.04,0.12,86.91,0.23,5.35,0.22,81.83,83.94,81.45
separate,0.50,1.00,3,81.58,0.13,86.67,0.22,5.60,0.44,81.35,83.74,80.97
separate,0.70,0.10,3,83.03,0.11,86.86,0.30,3.53,0.36,82.95,83.73,83.36
separate,0.70,0.30,3,83.65,0.12,87.49,0.24,3.69,0.37,83.53,84.73,83.26
separate,0.70,0.50,3,83.12,0.22,87.38,0.26,4.43,0.43,82.95,84.62,82.56
separate,0.70,0.70,3,82.54,0.30,87.20,0.16,5.07,0.49,82.34,84.40,81.85
separate,0.70,0.90,3,81.65,0.06,86.73,0.15,5.66,0.27,81.37,84.12,80.92
separate,0.70,1.00,3,81.09,0.34,86.42,0.30,6.13,0.47,80.82,83.47,80.35
separate,0.90,0.10,3,83.11,0.08,86.92,0.31,3.47,0.40,83.04,83.72,83.44
separate,0.90,0.30,3,83.73,0.13,87.54,0.24,3.64,0.44,83.62,84.68,83.36
separate,0.90,0.50,3,83.22,0.10,87.42,0.19,4.47,0.40,83.09,84.40,82.48
separate,0.90,0.70,3,82.34,0.04,87.10,0.20,5.24,0.24,82.09,84.62,81.58
separate,0.90,0.90,3,81.52,0.27,86.69,0.18,5.77,0.09,81.34,83.08,80.96
separate,0.90,1.00,3,80.70,0.12,86.24,0.20,6.56,0.36,80.38,83.57,79.93
separate,1.00,0.10,3,83.13,0.13,86.97,0.30,3.53,0.35,83.04,83.89,83.43
separate,1.00,0.30,3,83.65,0.11,87.54,0.22,3.81,0.43,83.53,84.67,83.20
separate,1.00,0.50,3,83.23,0.25,87.43,0.21,4.48,0.54,83.04,84.95,82.39
separate,1.00,0.70,3,82.28,0.26,87.11,0.18,5.33,0.46,82.02,84.61,81.40
separate,1.00,0.90,3,81.13,0.27,86.55,0.26,6.24,0.27,80.81,83.95,80.26
separate,1.00,1.00,3,80.82,0.24,86.31,0.21,6.38,0.33,80.53,83.36,80.05
